1111;Тест, Тест, 111, 111;100.0;2013-08-07T09:36:10+04:00;45
1111;Тест, Тест, 111, 111;100.0;2013-08-07T13:40:14+04:00;45
1111;Тест, Тест, 111, 111;100.0;2013-08-07T09:45:39+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;100.0;2013-08-07T11:13:09+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;100.0;2013-08-07T11:13:47+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;101.0;2013-08-07T11:16:13+04:00;45
1111;Тест, Тест, 111, 111;101.0;2013-08-07T12:47:58+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;91.0;2013-08-07T12:57:52+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;11.0;2013-08-07T12:58:35+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;11.0;2013-08-07T12:59:23+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;11.0;2013-08-07T13:00:18+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;10.0;2013-08-07T13:00:47+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;91.0;2013-08-07T13:01:17+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;10.0;2013-08-07T13:19:44+04:00;45
111222333;Cupertino, Adriana Ave, 21000, 1080;91.0;2013-08-07T13:53:38+04:00;45
